name,município,data_avist,estado,latitude,longitude,data_revis,status
Barra de Santo Antônio,Barra de Santo Antônio,2019-09-22,AL,-9.34805555555556,-35.4644444444444,2019-10-13,Oleada - Vestígios/Esparsos
Barra do Rio Santo Antônio,Barra de Santo Antônio,2019-10-13,AL,-9.41416666666667,-35.4977194444444,2019-10-24,Óleo - Não Observado
Barra do Santo Antônio,Barra de Santo Antônio,2019-10-13,AL,-9.43135555555556,-35.5087583333333,2019-10-15,Oleada - Manchas
Ilha da Croa,Barra de Santo Antônio,2019-10-13,AL,-9.38210555555556,-35.4912138888889,2019-10-30,Oleada - Vestígios/Esparsos
Praia do Carro Quebrado,Barra de Santo Antônio,2019-09-18,AL,-9.34168888888889,-35.4487,2019-11-01,Óleo - Não Observado
Praia do Morro de Camaragibe,Barra de Santo Antônio,2019-10-21,AL,-9.32866944444444,-35.4389,2019-11-01,Oleada - Vestígios/Esparsos
Barra de São Miguel,Barra de São Miguel,2019-09-19,AL,-9.82565,-35.8792666666667,2019-10-27,Oleada - Vestígios/Esparsos
Praia Bonita,Barra de São Miguel,2019-10-21,AL,-9.84176111111111,-35.8932388888889,2019-11-01,Oleada - Vestígios/Esparsos
Coruripe,Coruripe,2019-10-12,AL,-10.1688888888889,-36.1650916666667,2019-10-24,Oleada - Vestígios/Esparsos
Lagoa do Pau,Coruripe,2019-09-27,AL,-10.1297333333333,-36.1100111111111,2019-10-27,Oleada - Vestígios/Esparsos
Mangue da Foz do Rio Coruripe,Coruripe,2019-10-29,AL,-10.1561694444444,-36.15705,NA,Oleada - Vestígios/Esparsos
Pontal do Coruripe,Coruripe,2019-09-27,AL,-10.1607277777778,-36.1353027777778,2019-10-31,Oleada - Vestígios/Esparsos
Praia de Flexeiras,Feliz Deserto,2019-10-21,AL,-10.3201833333333,-36.3006777777778,2019-11-02,Oleada - Vestígios/Esparsos
Barreira do Boqueirão,Japaratinga,2019-10-14,AL,-9.125,-35.2755555555556,2019-11-01,Óleo - Não Observado
Foz do Rio Manguba,Japaratinga,2019-10-21,AL,-9.1568,-35.2890888888889,2019-11-01,Oleada - Vestígios/Esparsos
