name,município,data_avist,estado,data_revis,status,latitude,longitude
Praia de Flexeiras,Feliz Deserto,2019-10-21,AL,2019-11-04,Oleada - Vestígios/Esparsos,-10.3186,-36.30085
Praia de Lages,Porto de Pedras,2019-11-01,AL,2019-11-02,Óleo - Não Observado,-9.19617777777778,-35.3131833333333
Pajuçara/Ponta Verde,Maceió,2019-09-15,AL,2019-11-01,Óleo - Não Observado,-9.6652,-35.703375
Praia do Carro Quebrado,Barra de Santo Antônio,2019-09-18,AL,2019-11-01,Óleo - Não Observado,-9.34127222222222,-35.4480805555556
Praia de Peroba,Maragogi,2019-11-03,AL,2019-11-03,Oleada - Vestígios/Esparsos,-8.94950277777778,-35.1709388888889
Manguezal do rio Maragogi,Maragogi,2019-11-01,AL,NA,Óleo - Não Observado,-9.02651944444444,-35.2253722222222
Praia Bonita,Barra de São Miguel,2019-10-21,AL,2019-11-01,Oleada - Vestígios/Esparsos,-9.84443611111111,-35.8957083333333
Praia do Morro de Camaragibe,Barra de Santo Antônio,2019-10-21,AL,2019-11-01,Oleada - Vestígios/Esparsos,-9.32885555555556,-35.4385083333333
Praia de Porto da Rua,São Miguel dos Milagres,2019-10-29,AL,2019-11-03,Óleo - Não Observado,-9.24404444444444,-35.3472833333333
Praia de Japaratinga,Japaratinga,2019-11-03,AL,2019-11-03,Oleada - Vestígios/Esparsos,-9.08999722222222,-35.2570972222222
Barra Grande (norte),Maragogi,2019-10-16,AL,2019-11-03,Óleo - Não Observado,-8.91839444444444,-35.1535777777778
Praia do Antunes,Maragogi,2019-10-16,AL,2019-11-03,Óleo - Não Observado,-8.97514444444444,-35.1803722222222
Praia de Burgalhau,Maragogi,2019-10-21,AL,2019-11-04,Óleo - Não Observado,-8.99898333333333,-35.2072388888889
Ponta do Mangue,Maragogi,2019-10-16,AL,2019-10-21,Oleada - Vestígios/Esparsos,-8.95812222222222,-35.1732472222222
Praia da Peroba,Maragogi,2019-10-18,AL,2019-11-03,Óleo - Não Observado,-8.93205277777778,-35.1649611111111
Praia do Camacho,Maragogi,2019-10-23,AL,2019-11-04,Óleo - Não Observado,-9.03202777777778,-35.2278166666667
Barra de São Miguel,Barra de São Miguel,2019-09-19,AL,2019-10-27,Oleada - Vestígios/Esparsos,-9.82570277777778,-35.8787333333333
Barra Grande (sul),Maragogi,2019-10-17,AL,2019-11-02,Óleo - Não Observado,-8.99269722222222,-35.2002472222222
Praia do Francês,Marechal Deodoro,2019-09-18,AL,2019-10-27,Óleo - Não Observado,-9.76764166666667,-35.836875
Falésias do Gunga,Roteiro,2019-09-22,AL,2019-10-22,Oleada - Vestígios/Esparsos,-9.90412222222222,-35.9391277777778
Barra de Santo Antônio,Barra de Santo Antônio,2019-09-22,AL,2019-10-13,Oleada - Vestígios/Esparsos,-9.34828055555556,-35.4639055555556
