name,município,data_avist,estado,data_revis,status,geocodigo,latitude,longitude
Praia Atalaia Nova,Aracaju,2019-10-21,SE,2019-11-03,Oleada - Vestígios/Esparsos,2800308,-10.9240666666667,-37.0447944444444
Praia da Costa,Barra dos Coqueiros,2019-11-03,SE,2019-11-03,Oleada - Vestígios/Esparsos,2800605,-10.9032944444444,-36.9941361111111
Praia de Jatobá,Barra dos Coqueiros,2019-09-24,SE,2019-11-03,Oleada - Vestígios/Esparsos,2800605,-10.8043111111111,-36.9117111111111
Praia do Porto,Barra dos Coqueiros,2019-11-03,SE,2019-11-03,Oleada - Vestígios/Esparsos,2800605,-10.8668972222222,-36.9659805555556
Praia da Costa,Barra dos Coqueiros,2019-09-02,SE,2019-11-03,Oleada - Vestígios/Esparsos,2800605,-10.9251722222222,-37.0110166666667
Praia do Porto,Barra dos Coqueiros,2019-09-02,SE,2019-10-26,Óleo - Não Observado,2800605,-10.8452805555556,-36.9487916666667
Mangue,Itaporanga D'ajuda,2019-10-12,SE,2019-10-30,Oleada - Manchas,2803203,-11.1140277777778,-37.1680722222222
Mangue,Indiaroba,2019-10-12,SE,2019-10-30,Oleada - Vestígios/Esparsos,2802809,-11.4351277777778,-37.4073055555556
Praia do Saco (3),Estância,2019-11-04,SE,2019-11-05,Oleada - Vestígios/Esparsos,2802106,-11.4292416666667,-37.3390083333333
Foz do Rio São Francisco,Brejo Grande,2019-10-09,SE,2019-11-05,Óleo - Não Observado,2800704,-10.4919472222222,-36.4113194444444
Praia do Cabeço,Brejo Grande,2019-11-05,SE,2019-11-05,Oleada - Vestígios/Esparsos,2800704,-10.4951833333333,-36.4268222222222
Praia do Pirambu,Pirambu,2019-09-24,SE,2019-11-03,Oleada - Vestígios/Esparsos,2805307,-10.7385361111111,-36.8476138888889
Praia de Pontal do Peba (sul),Piaçabuçu,2019-11-04,AL,2019-11-04,Oleada - Vestígios/Esparsos,2706802,-10.3597305555556,-36.2983555555556
Piaçabuçu,Piaçabuçu,2019-10-01,AL,2019-11-01,Oleada - Manchas,2706802,-10.4402444444444,-36.3549666666667
Praia do Pontal do Peba (norte),Piaçabuçu,2019-10-05,AL,2019-11-02,Oleada - Vestígios/Esparsos,2706802,-10.3459805555556,-36.3012666666667
Praia de Flexeiras,Feliz Deserto,2019-11-05,AL,2019-11-05,Oleada - Vestígios/Esparsos,2702702,-10.3370972222222,-36.3031861111111
Praia de Flexeiras,Feliz Deserto,2019-10-21,AL,2019-11-04,Oleada - Vestígios/Esparsos,2702702,-10.3189833333333,-36.3009638888889
Praia do Gunga,Roteiro,2019-09-22,AL,NA,Oleada - Vestígios/Esparsos,2707800,-9.86557777777778,-35.9057944444444
Falésias do Gunga,Roteiro,2019-09-22,AL,2019-10-22,Oleada - Vestígios/Esparsos,2707800,-9.90435277777778,-35.9392944444444
Lagoa do Pau,Coruripe,2019-09-27,AL,2019-11-06,Oleada - Vestígios/Esparsos,2702306,-10.1289555555556,-36.1088555555556
Coruripe,Coruripe,2019-10-12,AL,2019-10-24,Oleada - Vestígios/Esparsos,2702306,-10.1725722222222,-36.1672611111111
