name,município,data_avist,estado,latitude,longitude,data_revis,status,geocodigo
Praia Atalaia Nova,Aracaju,2019-10-21,Sergipe,-10.923400000000001,-37.0448305555556,2019-11-08,Oleada - Manchas,2800308
Praia da Costa,Barra dos Coqueiros,2019-09-02,Sergipe,-10.9244361111111,-37.0105916666667,2019-11-03,Oleada - Vestígios/Esparsos,2800605
Praia do Porto,Barra dos Coqueiros,2019-11-03,Sergipe,-10.8672944444444,-36.9663416666667,2019-11-03,Oleada - Vestígios/Esparsos,2800605
Praia de Jatobá,Barra dos Coqueiros,2019-09-24,Sergipe,-10.8038777777778,-36.9113611111111,2019-11-03,Oleada - Vestígios/Esparsos,2800605
Praia da Costa,Barra dos Coqueiros,2019-11-03,Sergipe,-10.9034472222222,-36.9942611111111,2019-11-03,Oleada - Vestígios/Esparsos,2800605
Praia do Porto,Barra dos Coqueiros,2019-09-02,Sergipe,-10.8442472222222,-36.9479805555556,2019-10-26,Óleo - Não Observado,2800605
Mangue,Itaporanga D'ajuda,2019-10-12,Sergipe,-11.1143194444444,-37.1683611111111,2019-10-30,Oleada - Manchas,2803203
Mangue,Indiaroba,2019-10-12,Sergipe,-11.4360444444444,-37.4074388888889,2019-11-07,Oleada - Vestígios/Esparsos,2802809
Praia do Saco,Estância,2019-11-07,Sergipe,-11.4346277777778,-37.3572305555556,2019-11-07,Oleada - Vestígios/Esparsos,2802106
Praia do Saco (3),Estância,2019-11-04,Sergipe,-11.4292416666667,-37.3390083333333,2019-11-05,Oleada - Vestígios/Esparsos,2802106
Foz do Rio São Francisco,Brejo Grande,2019-10-09,Sergipe,-10.49215,-36.411275,2019-11-07,Óleo - Não Observado,2800704
Praia do Cabeço,Brejo Grande,2019-11-05,Sergipe,-10.4955138888889,-36.4266194444444,2019-11-05,Oleada - Vestígios/Esparsos,2800704
Praia do Pirambu,Pirambu,2019-09-24,Sergipe,-10.7384611111111,-36.8476416666667,2019-11-07,Óleo - Não Observado,2805307
Praia do Pontal do Peba (norte),Piaçabuçu,2019-10-05,Alagoas,-10.3467416666667,-36.3008555555556,2019-11-08,Oleada - Vestígios/Esparsos,2706802
Praia de Pontal do Peba (sul),Piaçabuçu,2019-11-04,Alagoas,-10.3599555555556,-36.2987833333333,2019-11-07,Óleo - Não Observado,2706802
Piaçabuçu,Piaçabuçu,2019-10-01,Alagoas,-10.4404111111111,-36.3551083333333,2019-11-06,Oleada - Manchas,2706802
Praia do Peba,Piaçabuçu,2019-11-07,Alagoas,-10.4165972222222,-36.3431333333333,2019-11-07,Oleada - Manchas,2706802
Praia de Flexeiras,Feliz Deserto,2019-11-07,Alagoas,-10.3107888888889,-36.2972527777778,2019-11-08,Oleada - Vestígios/Esparsos,2702702
Praia de Flexeiras,Feliz Deserto,2019-11-05,Alagoas,-10.33645,-36.3032611111111,2019-11-06,Oleada - Vestígios/Esparsos,2702702
Praia de Flexeiras,Feliz Deserto,2019-10-21,Alagoas,-10.3186,-36.30085,2019-11-04,Oleada - Vestígios/Esparsos,2702702
Praia do Gunga,Roteiro,2019-09-22,Alagoas,-9.86557777777778,-35.9057944444444,2019-11-07,Oleada - Vestígios/Esparsos,2707800
