geocodigo,localidade,loc_id,municipio,estado,sigla_uf,data_avist,data_revis,status,latitude,longitude
2702702,Praia de Flexeiras,2702702_8,Feliz Deserto,Alagoas,AL,2019-11-05,2019-11-21,Oleada - Vestigios / Esparsos,-10.33645,-36.3032583333333
3203205,Praia de Povoação,3203205_61,Linhares,Espírito Santo,ES,2019-11-18,2019-11-19,Oleada - Vestigios / Esparsos,-19.51835,-39.7531444444444
3203205,Praia de Povoação,3203205_62,Linhares,Espírito Santo,ES,2019-11-19,2019-11-19,Oleada - Vestigios / Esparsos,-19.5283555555556,-39.7576138888889
2933208,Mar Grande,2933208_23,Vera Cruz,Bahia,BA,2019-11-21,2019-11-21,Oleada - Vestigios / Esparsos,-13.0574805555556,-38.7010063888889
2312403,Praia de Taíba,2312403_1,São Gonçalo do Amarante,Ceará,CE,2019-09-23,2019-11-15,Oleo Nao Observado,-3.51295555555556,-38.8830444444444
2800605,Praia da Costa,2800605_3,Barra dos Coqueiros,Sergipe,SE,2019-11-03,2019-11-18,Oleada - Vestigios / Esparsos,-10.9034472222222,-36.9942583333333
2800605,Praia do Porto,2800605_4,Barra dos Coqueiros,Sergipe,SE,2019-09-02,2019-11-11,Oleada - Manchas,-10.8442444444444,-36.9479805555556
2805307,Praia do Pirambu,2805307_1,Pirambu,Sergipe,SE,2019-09-24,2019-11-07,Oleo Nao Observado,-10.7384583333333,-36.8476416666667
2906907,Praia de Iemanjá,2906907_10,Caravelas,Bahia,BA,2019-11-19,2019-11-19,Oleada - Vestigios / Esparsos,-17.6980944444444,-39.1443888888889
2800605,Praia do Porto,2800605_1,Barra dos Coqueiros,Sergipe,SE,2019-11-03,2019-11-11,Oleada - Manchas,-10.8672952777778,-36.9663388888889
2507507,Praia do Cabo Branco,2507507_2,João Pessoa,Paraíba,PB,2019-09-01,2019-11-03,Oleo Nao Observado,-7.14256111111111,-34.8137305555556
2800605,Praia de Jatobá,2800605_2,Barra dos Coqueiros,Sergipe,SE,2019-09-24,2019-11-11,Oleada - Vestigios / Esparsos,-10.8038777777778,-36.9113611111111
2800605,Praia Pontal da Barra,2800605_7,Barra dos Coqueiros,Sergipe,SE,2019-11-09,2019-11-16,Oleo Nao Observado,-10.7568555555556,-36.8673688888889
2507507,Praia de Tambaú,2507507_1,João Pessoa,Paraíba,PB,2019-09-01,2019-11-22,Oleo Nao Observado,-7.11035,-34.8232416666667
2906907,Praia do Grauçá,2906907_14,Caravelas,Bahia,BA,2019-11-10,2019-11-14,Oleo Nao Observado,-17.7282916666667,-39.1788972222222
2800605,Praia da Costa,2800605_5,Barra dos Coqueiros,Sergipe,SE,2019-09-02,2019-11-03,Oleada - Vestigios / Esparsos,-10.9244361111111,-37.0105888888889
2800605,Praia de Jatobá,2800605_6,Barra dos Coqueiros,Sergipe,SE,2019-11-09,2019-11-11,Oleada - Vestigios / Esparsos,-10.7502383333333,-36.8605194444444
2706448,Paripueira,2706448_1,Paripueira,Alagoas,AL,2019-09-22,2019-11-01,Oleo Nao Observado,-9.46118888888889,-35.5392305555556
2413201,Praia de Malembá,2413201_1,Senador Georgino Avelino,Rio Grande do Norte,RN,2019-11-01,2019-11-14,Oleo Nao Observado,-6.17507777777778,-35.0961777777778
2413201,Praia de Barreta,2413201_2,Senador Georgino Avelino,Rio Grande do Norte,RN,2019-11-05,2019-11-22,Oleo Nao Observado,-6.140375,-35.098725
2413201,Praia de Malembá,2413201_3,Senador Georgino Avelino,Rio Grande do Norte,RN,2019-11-13,2019-11-14,Oleo Nao Observado,-6.15140583333333,-35.0984666666667
2913457,Praia do Contrato,2913457_9,Igrapiúna,Bahia,BA,2019-11-06,2019-11-20,Oleada - Vestigios / Esparsos,-13.8529527777778,-39.0077277777778
2917904,Praia Costa Azul,2917904_25,Jandaíra,Bahia,BA,2019-11-17,2019-11-17,Oleada - Manchas,-11.5970722222222,-37.439725
2101707,Atins,2101707_2,Barreirinhas,Maranhão,MA,2019-09-20,2019-09-28,Oleo Nao Observado,-2.56662222222222,-42.7495444444444
2707404,Praia de Lages,2707404_1,Porto de Pedras,Alagoas,AL,2019-11-01,2019-11-09,Oleo Nao Observado,-9.196175,-35.3131805555556
2101707,Praia Canto do Atins,2101707_1,Barreirinhas,Maranhão,MA,2019-09-22,2019-09-28,Oleo Nao Observado,-2.54468055555556,-42.8296055555556
2704708,Praia do Francês,2704708_1,Marechal Deodoro,Alagoas,AL,2019-09-18,2019-11-22,Oleo Nao Observado,-9.76764055555556,-35.8368722222222
2707404,Foz do rio Tatuamunha,2707404_2,Porto de Pedras,Alagoas,AL,2019-10-22,NA,Oleada - Vestigios / Esparsos,-9.22503611111111,-35.3323111111111
2108058,Praia do Barro Vermelho,2108058_1,Paulino Neves,Maranhão,MA,2019-09-21,2019-09-28,Oleo Nao Observado,-2.65156083333333,-42.6110805555556
2707404,Foz do Rio Manguaba,2707404_3,Porto de Pedras,Alagoas,AL,2019-11-06,2019-11-16,Oleo Nao Observado,-9.15836944444444,-35.2948916666667
3201605,Praia de Itaúnas,3201605_13,Conceição da Barra,Espírito Santo,ES,2019-11-18,2019-11-22,Oleada - Vestigios / Esparsos,-18.4148083333333,-39.6995916666667
2900801,Praia da Barra (Praia Zeloris),2900801_6,Alcobaça,Bahia,BA,2019-11-06,2019-11-06,Oleada - Vestigios / Esparsos,-17.622475,-39.1812361111111
2207702,Delta Sul do Parnaíba,2207702_11,Parnaíba,Piauí,PI,2019-11-18,2019-11-21,Oleada - Vestigios / Esparsos,-2.80543888888889,-41.7327333333333
