geocodigo,localidade,loc_id,municipio,estado,sigla_uf,data_avist,data_revis,status,hora,cou,latitude,longitude
2925303,Praia de Taperapuã,2925303_45,Porto Seguro,Bahia,BA,2019-11-04,2019-12-14,Oleo Nao Observado,10:14:18,1,-16.420841666666668,-39.05373611111111
2925303,Praia de Mucugê,2925303_46,Porto Seguro,Bahia,BA,2019-10-31,2019-12-11,Oleo Nao Observado,NA,1,-16.495391666666666,-39.06866305555556
2805307,Praia da Ponta dos Mangues,2805307_26,Pirambu,Sergipe,SE,2019-11-13,2019-11-16,Oleo Nao Observado,NA,1,-10.731747222222223,-36.84011666666667
2925303,Praia de Itaquena,2925303_47,Porto Seguro,Bahia,BA,2019-11-02,2019-11-19,Oleo Nao Observado,NA,1,-16.652031666666666,-39.094500000000004
2805307,Praia Pirambu,2805307_21,Pirambu,Sergipe,SE,2019-11-07,2019-12-07,Oleada - Vestigios / Esparsos,NA,1,-10.682166666666665,-36.775413888888885
2805307,Praia Pirambu,2805307_22,Pirambu,Sergipe,SE,2019-11-09,2019-11-26,Oleada - Vestigios / Esparsos,NA,1,-10.687297222222222,-36.78391472222222
2805307,Praia Pirambu,2805307_23,Pirambu,Sergipe,SE,2019-12-09,2019-12-09,Oleada - Vestigios / Esparsos,NA,1,-10.692325,-36.79122777777778
2504603,Praia do Amor,2504603_1,Conde,Paraíba,PB,2019-09-30,2019-11-14,Oleo Nao Observado,NA,1,-7.2715555555555556,-34.80232055555555
2504603,Praia de Jacumã,2504603_2,Conde,Paraíba,PB,2019-08-30,2019-12-12,Oleo Nao Observado,NA,1,-7.280236111111111,-34.79920277777778
2504603,Praia de Gramame,2504603_3,Conde,Paraíba,PB,2019-08-30,2019-11-14,Oleo Nao Observado,NA,1,-7.2531027777777775,-34.80609166666667
2614204,Praia de Guaiamum,2614204_8,Sirinhaém,Pernambuco,PE,2019-11-06,2019-11-11,Oleada - Vestigios / Esparsos,NA,1,-8.643983333333333,-35.068090000000005
2614204,Praia da Pedra,2614204_9,Sirinhaém,Pernambuco,PE,2019-11-07,NA,Oleo Nao Observado,NA,1,-8.652572222222222,-35.071402777777784
2614204,Praia da Barra de Sirinhaém,2614204_6,Sirinhaém,Pernambuco,PE,2019-11-06,2019-12-06,Oleo Nao Observado,NA,1,-8.627183333333333,-35.05934166666666
2805307,Praia Pirambu,2805307_18,Pirambu,Sergipe,SE,2019-11-18,2019-11-18,Oleada - Vestigios / Esparsos,NA,1,-10.667384166666666,-36.751931666666664
2805307,Praia Pirambu,2805307_19,Pirambu,Sergipe,SE,2019-11-13,2019-11-18,Oleada - Vestigios / Esparsos,NA,1,-10.672286111111111,-36.759661111111114
2401404,Barra do Guaju,2401404_1,Baía Formosa,Rio Grande do Norte,RN,2019-11-10,2019-12-07,Oleo Nao Observado,NA,1,-6.484858611111111,-34.96904166666667
2401404,Sagi,2401404_2,Baía Formosa,Rio Grande do Norte,RN,2019-09-07,2019-12-13,Oleo Nao Observado,NA,1,-6.466658333333333,-34.97182222222222
2925303,Praia do Mutá,2925303_33,Porto Seguro,Bahia,BA,2019-11-18,2019-12-06,Oleada - Vestigios / Esparsos,NA,1,-16.780866666666665,-39.14225277777778
2614204,Praia da Barra de Sirinhaém,2614204_1,Sirinhaém,Pernambuco,PE,2019-10-25,2019-12-12,Oleo Nao Observado,NA,1,-8.619852777777778,-35.055413888888886
2401404,Baía Formosa,2401404_3,Baía Formosa,Rio Grande do Norte,RN,2019-09-07,2019-12-03,Oleada - Vestigios / Esparsos,NA,1,-6.368445833333333,-35.001935833333334
2925303,Praia do Mutá,2925303_34,Porto Seguro,Bahia,BA,2019-12-03,2019-12-03,Oleada - Vestigios / Esparsos,NA,1,-16.789461111111113,-39.14416666666666
2614204,Ponta da Gameleira,2614204_2,Sirinhaém,Pernambuco,PE,2019-10-18,2019-11-12,Oleada - Vestigios / Esparsos,NA,1,-8.6701,-35.07013611111111
2401404,Praia do Pontal,2401404_4,Baía Formosa,Rio Grande do Norte,RN,2019-10-27,2019-12-07,Oleo Nao Observado,NA,1,-6.321822222222222,-35.03451638888889
2925303,Caraiva,2925303_35,Porto Seguro,Bahia,BA,2019-12-03,2019-12-03,Oleada - Vestigios / Esparsos,NA,1,-16.806525,-39.14535277777778
2700607,Barra de São Miguel,2700607_6,Barra de São Miguel,Alagoas,AL,2019-12-05,2019-12-06,Oleada - Vestigios / Esparsos,NA,1,-9.832580555555555,-35.88375416666667
2700607,Porto de Vacas,2700607_7,Barra de São Miguel,Alagoas,AL,2019-11-26,2019-12-13,Oleada - Vestigios / Esparsos,NA,1,-9.840311111111111,-35.88955
2805307,Praia Pirambu,2805307_10,Pirambu,Sergipe,SE,2019-11-13,2019-11-18,Oleo Nao Observado,NA,1,-10.636088611111111,-36.68606805555555
2900801,Praia de Dona Dinha,2900801_9,Alcobaça,Bahia,BA,2019-11-06,2019-11-06,Oleada - Vestigios / Esparsos,NA,1,-17.661230555555555,-39.15506666666666
2923001,Costa do Atlântico,2923001_33,Nova Viçosa,Bahia,BA,2019-11-06,2019-11-14,Oleada - Vestigios / Esparsos,NA,1,-17.99491111111111,-39.48928611111111
2700607,Barra de São Miguel,2700607_2,Barra de São Miguel,Alagoas,AL,2019-09-19,2019-12-13,Oleada - Vestigios / Esparsos,NA,1,-9.8257,-35.87873333333334
2925303,Praia de Caraíva,2925303_32,Porto Seguro,Bahia,BA,2019-11-18,2019-11-18,Oleada - Manchas,NA,1,-16.771569444444445,-39.141325
2805307,Praia Pirambu,2805307_12,Pirambu,Sergipe,SE,2019-12-09,2019-12-09,Oleada - Vestigios / Esparsos,NA,1,-10.64161388888889,-36.70297777777778
2700607,Praia do Gunga,2700607_3,Barra de São Miguel,Alagoas,AL,2019-09-22,2019-11-15,Oleo Nao Observado,NA,1,-9.865577777777778,-35.905794444444446
2700607,Lot. Encontro do Mar,2700607_4,Barra de São Miguel,Alagoas,AL,2019-09-21,2019-12-03,Oleada - Vestigios / Esparsos,NA,1,-9.787744444444444,-35.85462777777778
2900801,Praia de Iansã,2900801_5,Alcobaça,Bahia,BA,2019-12-11,2019-12-11,Oleada - Vestigios / Esparsos,NA,1,-17.614958333333334,-39.18458916666666
2700607,Praia do Barramar,2700607_5,Barra de São Miguel,Alagoas,AL,2019-11-06,2019-11-27,Oleada - Vestigios / Esparsos,NA,1,-9.818209722222221,-35.874491666666664
2900801,Praia da Barra (Praia Zeloris),2900801_6,Alcobaça,Bahia,BA,2019-11-06,2019-11-06,Oleada - Vestigios / Esparsos,NA,1,-17.622475,-39.18123611111111
2914901,Itacaré,2914901_2,Itacaré,Bahia,BA,2019-10-19,2019-12-04,Oleo Nao Observado,NA,1,-14.382875,-39.009994444444445
2700607,Praia Bonita,2700607_1,Barra de São Miguel,Alagoas,AL,2019-10-21,2019-12-13,Oleada - Vestigios / Esparsos,NA,1,-9.844436111111111,-35.89570555555556
2914901,Praia do Pontal,2914901_3,Itacaré,Bahia,BA,2019-11-01,NA,Oleada - Vestigios / Esparsos,NA,1,-14.270605555555557,-38.99330555555556
2403608,Praia de Rendinha Nova,2403608_5,Extremoz,Rio Grande do Norte,RN,2019-10-23,2019-12-12,Oleo Nao Observado,NA,1,-5.717450555555556,-35.20048222222223
2914901,Praia da Concha,2914901_5,Itacaré,Bahia,BA,2019-11-08,2019-12-06,Oleo Nao Observado,NA,1,-14.276616666666667,-38.98720277777778
2408953,Praia de Zumbi,2408953_1,Rio do Fogo,Rio Grande do Norte,RN,2019-09-11,2019-11-17,Oleo Nao Observado,NA,1,-5.320083333333333,-35.36305
2403608,Praia de Graçandu,2403608_6,Extremoz,Rio Grande do Norte,RN,2019-10-28,2019-11-06,Oleo Nao Observado,NA,1,-5.650909444444445,-35.217796944444444
2408953,Rio Punaú,2408953_2,Rio do Fogo,Rio Grande do Norte,RN,2019-09-11,2019-12-14,Oleo Nao Observado,11:05:02,1,-5.346358333333333,-35.35936944444445
